jogador;genero;data_nascimento;jogo;pais;num_vitorias;num_derrotas;total_partidas;media
Jogador 335;Masculino;20/06/1992;Jogo da velha;Chile;4;0;4;1
Jogador 336;Feminino;11/01/1958;Dama;Brasil;6;1;7;0,857142857
Jogador 337;Masculino;13/06/1996;Dama;Argentina;36;28;64;0,5625
Jogador 338;Masculino;27/05/1969;Xadrez;Paraguai;23;15;38;0,605263158
Jogador 339;Feminino;13/02/1965;Dama;Argentina;5;0;5;1
Jogador 340;Feminino;26/01/1953;Xadrez;Brasil;1;6;7;0,142857143
Jogador 341;Feminino;16/07/1987;Jogo da velha;Uruguai;3;7;10;0,3
Jogador 342;Feminino;06/02/2005;Dama;Paraguai;25;3;28;0,892857143
Jogador 343;Feminino;26/05/2004;Jogo da velha;Uruguai;20;50;70;0,285714286
Jogador 344;Masculino;19/09/1994;Jogo da velha;Uruguai;53;15;68;0,779411765
Jogador 345;Masculino;27/11/1979;Jogo da velha;Chile;5;54;59;0,084745763
Jogador 346;Masculino;21/06/1999;Xadrez;Argentina;79;6;85;0,929411765
Jogador 347;Masculino;13/02/1989;Xadrez;Paraguai;2;0;2;1
Jogador 348;Masculino;21/11/1957;Dama;Paraguai;26;72;98;0,265306122
Jogador 349;Feminino;25/08/2004;Jogo da velha;Uruguai;1;55;56;0,017857143
Jogador 350;Feminino;31/08/1970;Xadrez;Paraguai;50;21;71;0,704225352
Jogador 351;Masculino;20/07/1977;Dama;Paraguai;15;22;37;0,405405405
Jogador 352;Feminino;10/10/1993;Jogo da velha;Uruguai;20;17;37;0,540540541
Jogador 353;Feminino;15/01/1985;Jogo da velha;Uruguai;1;14;15;0,066666667
Jogador 354;Feminino;21/07/1974;Jogo da velha;Argentina;32;9;41;0,780487805
Jogador 355;Masculino;29/11/1983;Xadrez;Chile;20;1;21;0,952380952
Jogador 356;Feminino;07/02/1964;Xadrez;Paraguai;39;5;44;0,886363636
Jogador 357;Feminino;11/07/2003;Dama;Argentina;6;5;11;0,545454545
Jogador 358;Masculino;04/11/1956;Jogo da velha;Paraguai;4;12;16;0,25
Jogador 359;Masculino;20/04/1995;Jogo da velha;Paraguai;17;30;47;0,361702128
Jogador 360;Masculino;10/05/1962;Dama;Argentina;3;26;29;0,103448276
Jogador 361;Masculino;06/03/1956;Xadrez;Uruguai;93;1;94;0,989361702
Jogador 362;Masculino;18/07/1956;Xadrez;Brasil;45;45;90;0,5
Jogador 363;Feminino;30/05/1969;Dama;Uruguai;27;21;48;0,5625
Jogador 364;Masculino;19/04/1978;Jogo da velha;Paraguai;4;3;7;0,571428571
Jogador 365;Feminino;16/02/2004;Dama;Paraguai;60;18;78;0,769230769
Jogador 366;Feminino;08/08/1992;Xadrez;Paraguai;32;1;33;0,96969697
Jogador 367;Feminino;01/08/1980;Xadrez;Paraguai;35;11;46;0,760869565
Jogador 368;Feminino;31/12/1994;Jogo da velha;Brasil;15;0;15;1
Jogador 369;Masculino;06/01/1965;Jogo da velha;Uruguai;45;2;47;0,957446809
Jogador 370;Feminino;11/07/1983;Xadrez;Chile;64;3;67;0,955223881
Jogador 371;Feminino;01/10/1956;Dama;Brasil;11;37;48;0,229166667
Jogador 372;Feminino;12/01/1985;Dama;Argentina;22;13;35;0,628571429
Jogador 373;Feminino;24/06/2000;Xadrez;Paraguai;11;49;60;0,183333333
Jogador 374;Masculino;28/09/2005;Dama;Paraguai;30;26;56;0,535714286
Jogador 375;Masculino;27/06/1994;Dama;Paraguai;20;25;45;0,444444444
Jogador 376;Feminino;11/10/1962;Xadrez;Brasil;29;20;49;0,591836735
Jogador 377;Feminino;03/06/1995;Jogo da velha;Brasil;57;4;61;0,93442623
Jogador 378;Masculino;22/02/1967;Dama;Brasil;39;8;47;0,829787234
Jogador 379;Feminino;13/04/1988;Dama;Uruguai;31;54;85;0,364705882
Jogador 380;Feminino;17/10/1991;Jogo da velha;Brasil;48;18;66;0,727272727
Jogador 381;Masculino;24/03/1976;Jogo da velha;Chile;29;6;35;0,828571429
Jogador 382;Feminino;01/04/1955;Xadrez;Paraguai;1;0;1;1
Jogador 383;Masculino;08/01/1981;Jogo da velha;Brasil;13;6;19;0,684210526
Jogador 384;Feminino;27/06/1975;Xadrez;Argentina;6;79;85;0,070588235
Jogador 385;Masculino;22/04/2004;Jogo da velha;Paraguai;46;26;72;0,638888889
Jogador 386;Masculino;07/08/1991;Dama;Argentina;18;47;65;0,276923077
Jogador 387;Masculino;19/03/2001;Dama;Argentina;7;2;9;0,777777778
Jogador 388;Masculino;27/08/1954;Dama;Argentina;4;3;7;0,571428571
Jogador 389;Masculino;01/05/1953;Xadrez;Brasil;9;12;21;0,428571429
Jogador 390;Feminino;18/01/1961;Dama;Brasil;37;50;87;0,425287356
Jogador 391;Masculino;29/02/1988;Xadrez;Paraguai;12;2;14;0,857142857
Jogador 392;Feminino;14/08/1977;Xadrez;Chile;1;16;17;0,058823529
Jogador 393;Feminino;29/04/1969;Xadrez;Argentina;84;1;85;0,988235294
Jogador 394;Masculino;04/09/1981;Dama;Uruguai;2;6;8;0,25
Jogador 395;Masculino;02/02/1977;Xadrez;Argentina;31;54;85;0,364705882
Jogador 396;Masculino;21/09/1986;Dama;Argentina;41;45;86;0,476744186
Jogador 397;Masculino;27/04/1992;Dama;Argentina;24;7;31;0,774193548
Jogador 398;Masculino;29/05/1974;Xadrez;Paraguai;8;7;15;0,533333333
Jogador 399;Masculino;28/01/1959;Xadrez;Chile;73;9;82;0,890243902
Jogador 400;Feminino;23/05/1970;Xadrez;Chile;6;2;8;0,75
Jogador 401;Masculino;16/07/1998;Jogo da velha;Brasil;14;24;38;0,368421053
Jogador 402;Feminino;13/09/1989;Dama;Argentina;60;18;78;0,769230769
Jogador 403;Masculino;06/09/1999;Jogo da velha;Uruguai;27;11;38;0,710526316
Jogador 404;Masculino;17/08/1980;Xadrez;Paraguai;19;7;26;0,730769231
Jogador 405;Feminino;14/07/1981;Xadrez;Uruguai;4;1;5;0,8
Jogador 406;Masculino;06/02/1965;Xadrez;Brasil;15;5;20;0,75
Jogador 407;Masculino;02/11/1997;Xadrez;Paraguai;34;16;50;0,68
Jogador 408;Feminino;23/11/1970;Xadrez;Brasil;54;28;82;0,658536585
Jogador 409;Masculino;18/12/1991;Jogo da velha;Chile;34;58;92;0,369565217
Jogador 410;Feminino;10/04/1995;Xadrez;Paraguai;5;19;24;0,208333333
Jogador 411;Masculino;14/05/1965;Jogo da velha;Paraguai;2;57;59;0,033898305
Jogador 412;Feminino;21/07/1989;Dama;Argentina;1;0;1;1
Jogador 413;Masculino;07/02/1950;Xadrez;Chile;45;33;78;0,576923077
Jogador 414;Feminino;14/09/1975;Xadrez;Uruguai;3;25;28;0,107142857
Jogador 415;Masculino;05/09/1974;Xadrez;Chile;63;26;89;0,707865169
Jogador 416;Masculino;13/01/1950;Dama;Argentina;31;0;31;1
Jogador 417;Masculino;20/04/1968;Dama;Uruguai;1;14;15;0,066666667
Jogador 418;Feminino;14/11/1986;Xadrez;Paraguai;54;15;69;0,782608696
Jogador 419;Masculino;26/06/1984;Dama;Argentina;61;1;62;0,983870968
Jogador 420;Masculino;19/08/1977;Jogo da velha;Brasil;52;22;74;0,702702703
Jogador 421;Masculino;29/05/1951;Jogo da velha;Argentina;16;70;86;0,186046512
Jogador 422;Feminino;21/10/2004;Jogo da velha;Chile;14;77;91;0,153846154
Jogador 423;Masculino;09/05/1988;Jogo da velha;Brasil;66;12;78;0,846153846
Jogador 424;Masculino;21/08/1998;Dama;Paraguai;47;30;77;0,61038961
Jogador 425;Masculino;11/10/1960;Xadrez;Argentina;29;12;41;0,707317073
Jogador 426;Feminino;15/10/1989;Xadrez;Paraguai;15;28;43;0,348837209
Jogador 427;Masculino;20/03/1956;Xadrez;Brasil;3;2;5;0,6
Jogador 428;Feminino;24/10/1974;Jogo da velha;Brasil;17;9;26;0,653846154
Jogador 429;Feminino;19/06/1978;Jogo da velha;Uruguai;6;10;16;0,375
Jogador 430;Feminino;22/12/1969;Jogo da velha;Uruguai;75;12;87;0,862068966
Jogador 431;Feminino;23/07/1986;Xadrez;Brasil;3;10;13;0,230769231
Jogador 432;Masculino;14/03/1997;Jogo da velha;Chile;18;32;50;0,36
Jogador 433;Masculino;21/12/1965;Jogo da velha;Paraguai;20;33;53;0,377358491
Jogador 434;Feminino;23/02/1964;Dama;Uruguai;30;35;65;0,461538462
Jogador 435;Feminino;22/11/1965;Jogo da velha;Paraguai;49;8;57;0,859649123
Jogador 436;Feminino;06/09/1986;Dama;Brasil;81;14;95;0,852631579
Jogador 437;Feminino;21/09/1964;Dama;Uruguai;41;51;92;0,445652174
Jogador 438;Feminino;09/11/1979;Dama;Chile;27;45;72;0,375
Jogador 439;Feminino;05/06/1957;Xadrez;Brasil;52;42;94;0,553191489
Jogador 440;Masculino;15/03/1984;Xadrez;Uruguai;3;14;17;0,176470588
Jogador 441;Feminino;19/03/1959;Xadrez;Brasil;29;22;51;0,568627451
Jogador 442;Feminino;04/12/1958;Xadrez;Paraguai;4;13;17;0,235294118
Jogador 443;Feminino;20/11/1981;Jogo da velha;Chile;54;8;62;0,870967742
Jogador 444;Masculino;16/01/1985;Jogo da velha;Brasil;2;17;19;0,105263158
Jogador 445;Masculino;02/02/1977;Xadrez;Argentina;43;1;44;0,977272727
Jogador 446;Masculino;21/06/1977;Xadrez;Uruguai;1;13;14;0,071428571
Jogador 447;Masculino;15/07/1950;Xadrez;Argentina;8;21;29;0,275862069
Jogador 448;Feminino;30/03/2000;Xadrez;Uruguai;10;9;19;0,526315789
Jogador 449;Masculino;30/03/1976;Jogo da velha;Argentina;5;20;25;0,2
Jogador 450;Feminino;04/10/1991;Xadrez;Paraguai;52;25;77;0,675324675
Jogador 451;Feminino;01/09/1976;Dama;Brasil;51;29;80;0,6375
Jogador 452;Masculino;13/10/1998;Dama;Paraguai;14;16;30;0,466666667
Jogador 453;Feminino;08/04/1956;Xadrez;Chile;42;0;42;1
Jogador 454;Feminino;21/10/2000;Dama;Paraguai;15;42;57;0,263157895
Jogador 455;Masculino;30/04/1951;Xadrez;Paraguai;3;32;35;0,085714286
Jogador 456;Masculino;04/09/1956;Jogo da velha;Argentina;15;3;18;0,833333333
Jogador 457;Feminino;03/02/1990;Dama;Paraguai;7;68;75;0,093333333
Jogador 458;Masculino;27/08/1952;Xadrez;Uruguai;60;32;92;0,652173913
Jogador 459;Masculino;17/06/1999;Jogo da velha;Argentina;23;50;73;0,315068493
Jogador 460;Feminino;25/03/1955;Xadrez;Argentina;13;48;61;0,213114754
Jogador 461;Feminino;12/09/1983;Dama;Brasil;11;28;39;0,282051282
Jogador 462;Masculino;22/02/1952;Xadrez;Argentina;82;10;92;0,891304348
Jogador 463;Masculino;27/10/1998;Xadrez;Brasil;2;0;2;1
Jogador 464;Masculino;28/12/1962;Xadrez;Brasil;32;0;32;1
Jogador 465;Feminino;13/10/1988;Dama;Brasil;19;16;35;0,542857143
Jogador 466;Feminino;13/01/1998;Xadrez;Argentina;35;14;49;0,714285714
Jogador 467;Masculino;15/05/1965;Xadrez;Paraguai;61;16;77;0,792207792
Jogador 468;Masculino;16/02/1995;Jogo da velha;Uruguai;67;3;70;0,957142857
Jogador 469;Feminino;02/06/1979;Xadrez;Uruguai;2;25;27;0,074074074
Jogador 470;Feminino;03/08/1960;Dama;Paraguai;1;0;1;1
Jogador 471;Masculino;07/12/1988;Jogo da velha;Argentina;11;79;90;0,122222222
Jogador 472;Masculino;11/11/1982;Xadrez;Paraguai;11;5;16;0,6875
Jogador 473;Masculino;06/10/2001;Jogo da velha;Brasil;23;46;69;0,333333333
Jogador 474;Feminino;22/10/1977;Xadrez;Uruguai;24;4;28;0,857142857
Jogador 475;Masculino;01/05/1964;Xadrez;Brasil;5;9;14;0,357142857
Jogador 476;Feminino;21/04/1969;Jogo da velha;Paraguai;13;6;19;0,684210526
Jogador 477;Feminino;07/10/2004;Dama;Brasil;3;1;4;0,75
Jogador 478;Feminino;10/07/1993;Dama;Uruguai;29;30;59;0,491525424
Jogador 479;Masculino;14/08/1975;Dama;Paraguai;50;43;93;0,537634409
Jogador 480;Masculino;25/10/1956;Jogo da velha;Brasil;32;9;41;0,780487805
Jogador 481;Feminino;09/02/2005;Jogo da velha;Argentina;36;1;37;0,972972973
Jogador 482;Masculino;07/05/1992;Xadrez;Paraguai;13;21;34;0,382352941
Jogador 483;Masculino;04/07/1976;Xadrez;Paraguai;46;50;96;0,479166667
Jogador 484;Feminino;19/06/1990;Dama;Chile;62;16;78;0,794871795
Jogador 485;Feminino;18/04/1999;Jogo da velha;Argentina;4;30;34;0,117647059
Jogador 486;Masculino;02/03/1999;Jogo da velha;Brasil;1;0;1;1
Jogador 487;Feminino;26/06/2002;Jogo da velha;Paraguai;49;35;84;0,583333333
Jogador 488;Feminino;28/10/1953;Xadrez;Paraguai;31;0;31;1
Jogador 489;Feminino;22/02/1984;Dama;Paraguai;11;43;54;0,203703704
Jogador 490;Masculino;15/09/2003;Xadrez;Brasil;1;2;3;0,333333333
Jogador 491;Masculino;27/05/1981;Dama;Argentina;16;1;17;0,941176471
Jogador 492;Feminino;25/10/1989;Xadrez;Paraguai;1;23;24;0,041666667
Jogador 493;Feminino;21/09/2001;Jogo da velha;Uruguai;19;6;25;0,76
Jogador 494;Feminino;07/11/1977;Dama;Uruguai;31;11;42;0,738095238
Jogador 495;Feminino;03/06/1974;Dama;Chile;52;28;80;0,65
Jogador 496;Masculino;09/02/1959;Dama;Chile;13;51;64;0,203125
Jogador 497;Masculino;06/01/1962;Jogo da velha;Argentina;57;23;80;0,7125
Jogador 498;Masculino;28/09/1958;Jogo da velha;Chile;5;3;8;0,625
Jogador 499;Feminino;08/10/2004;Jogo da velha;Paraguai;1;86;87;0,011494253
